AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
522687839410,50669010000,77088965440,36180020760,114262538290,156284352480,144964994500,53481668400,267091777600,62798895280,144956834730,116597520900,133217370000,281481213120,204376337600,185049311750,107928754200,92892358500,138364184790,393171452130,77497586770,182056603470,220746676920,31282548000,107178986760,77135346160,134627039650,203568540000,210652540470,329778600000
519527427100,49525590000,71841933760,35754989940,125277629720,156190250630,147347086700,51905952000,259069586400,60009349840,143612880870,114327463500,133170180000,281398204800,195357569100,184440453850,107184987900,91807751100,136464575550,393013266070,75594232000,179834142390,216094823400,30609763290,105163557880,70812333120,131402899570,201165470000,209147650760,330817600000
521135356170,51027540000,71967809520,36768077100,127460343690,160782420910,148717605500,51398323120,266714262720,62329705680,147479917920,117422114400,135295360000,281730238080,211628163700,187484743350,108286863900,93151650480,136967413290,399419801500,76161188740,181254048080,219042800340,31707077730,106304366680,71891330400,135145205020,204098030000,211901278740,336760680000
535828501120,51531420000,74597950400,37967479140,131165881360,159615557970,151589168700,52314354960,272376985920,63562394720,151423027830,119071301400,135956720000,283113710080,214793935500,188571989600,109434651400,94101560140,139062570540,404086290270,78010547630,184032124430,220340992020,31671680490,109470111100,72334639360,136450214100,204627520000,211004748700,337550320000
544034483960,51948090000,77075715360,39166977720,134313050340,166202687470,155814935000,53610204880,276907164480,64381343840,153679856010,122330871000,139216280000,283611760000,216340010100,189137357650,108938807200,94761051560,141353275800,414605663260,78523508490,182920893890,222991466700,32205588860,112464734200,73706387840,138235005930,204953360000,211677146230,340792000000
533721559580,52471350000,77890595280,38503130640,134160767970,163229069010,155276516900,53141017840,274453317760,63012163280,152107683570,128491069500,138980080000,288426242560,212806125300,189659235850,107589009100,94857857640,140571083760,412786523570,79103964200,182427013650,221720320680,32108246450,111656661300,73907131520,136718892440,207478620000,205305379160,342662200000
532501751320,53013990000,76293960640,38095505240,133602812550,162796200500,155015465700,52593632960,273887045440,62662403760,154288438890,129102238800,135626040000,288204887040,212842936600,190355073450,107001341900,94658195100,140012375160,409860081460,80062391070,182056603470,221206453140,31884063930,111875316320,73798395360,137275440430,207152780000,207034401380,342870000000
537159201040,53629823350,77771344560,39196093820,134005382230,167162526340,157234400900,53498493680,277567815520,62841456500,155759180850,129771614700,138649400000,289837384000,215603784100,191094400900,108048124100,95414492600,141828178110,416424802950,81223302490,185513765150,222126005580,32255734950,115288235980,77261223840,140211710860,208008110000,210140237590,342412840000
525016564270,53128519950,77446717600,38305141160,131439000520,159803761670,155619146600,52481921760,275774619840,61202738500,157889220930,128442564000,136051200000,287983531520,206585015600,190007154650,107341087000,94488784460,141185663220,404798127540,81277298370,184958149880,221260544460,31830968070,115174155100,76617171200,138465301650,206215990000,212861846640,337591880000
532834426300,52675418800,76578837360,38363373360,132445424720,160481294990,155700725100,52716515280,273320773120,61477266000,159258532410,127604996800,137893560000,290418442240,206048677100,190963931350,107488003800,95124074360,141241534080,406221802080,81533778800,185328560060,220584402960,31999104960,114271014800,78298399520,137889562350,207032599620,214911058160,338797120000
536493851080,53398452550,77393717280,38706943340,133854418600,160633206800,156059670500,53733087200,275868998560,62613387500,160843383660,129238494500,139924880000,293540610420,209241807650,192051177600,108690885100,96194991620,142470693000,412074686300,84206574860,188847456770,222693964440,32232136790,115221688800,82028886240,140614728370,208214013510,217856799720,340567601570
537325538530,53388812100,78281472640,38939872140,132898315610,158844208600,155504936700,54448038880,277473436800,63458087500,160082655060,126865118430,140775200000,291884995020,211187048100,186774543720,105542232480,95759364260,141465017520,405747243900,84503552200,186624995690,219340302600,31993205420,115345276420,81711042080,139578397630,207847367820,212957903430,339487884750
536105730270,53581621100,78294722720,39423199400,131740927780,157130536640,155847566400,54302814320,271893887980,63153995500,157369389720,125904237430,139783160000,290312160390,206635919500,186731248740,105659441520,94912311060,139345754390,402425336640,83140156230,183167834010,217149604140,31715927040,113225273400,80816059840,138925893090,206665953930,212413581620,332843473550
557396928990,54757756000,79473979840,40232626980,135011806430,162196226280,159322810500,55933797840,278798537160,65316427500,159372641700,129113579970,143467880000,295858471980,217279688000,189155767620,107156110800,96558014420,143619653250,415871151740,84935519240,185452030120,219691896180,32485817010,115668505580,79502861600,143243937840,209639857860,212797808780,337536088960
558616737250,55066250400,79268603600,40401500360,135364054900,164098213840,158262290000,55431097440,281597719260,65126370000,159233174790,130968080300,144270960000,295361787360,219335036400,189502127460,106822515840,96449107580,145062787930,418797593850,83990591340,185400517200,223261923300,32506465400,115288235980,79904348960,142591433300,212328592920,211997335530,343433003900
562775174500,56001374050,79242103440,41781603500,135213091270,164832644680,161231747400,55408755200,281970943540,65603625500,160767310800,132409401800,144459920000,294285637350,220069089400,190324732080,105208637520,96430956440,144590993900,414052012050,82978168590,184843944600,224046247440,32388474600,115811106680,80389479520,141842972210,211391609490,211773203020,342187176800
571147494830,56194183050,80209359280,42416334480,134860842800,165585907080,160677013600,56179562480,284210289220,66241374000,159195138360,132409401800,144696120000,293871733500,220399413250,190974156780,105650425440,96848432660,144535488720,411521035090,82694690220,183730799400,225804215340,32565460800,115792093200,81133904000,141823780900,211065702210,213822414540,341730373530
564826670210,56878655000,81421741600,43540215940,136571763940,170745754520,162161742300,55587493120,282624086030,65612072500,159968545770,134667472150,146160560000,294533979660,219995684100,190541206980,105623377200,97150951660,146089633760,403611732090,79981397250,184225530600,224749434600,32568410570,115754066240,81095871600,138062284140,212695238610,217376515770,350741856220
560169220490,57293194350,81057364400,41769957060,136118873050,167111263440,159600177400,54548578960,280478046420,64028260000,160665880320,133629720670,144365440000,293099112980,215738176700,191883351360,106768419360,96927087600,145562334550,408515499950,80737339570,181566350400,224641251960,32698200450,115658998840,81079137000,135529031220,213713698860,217856799720,343142310910
560668232960,56926857250,81395241440,41851482140,138936860810,174794539920,159339126200,54805514720,280384740350,63314488500,159791042430,134917301210,145806260000,294809915560,216986066800,194004805380,107868381120,96860533420,145312561240,417927570520,78739492010,183916323600,224370795360,32839789410,115126621400,80828118000,135644179080,213224837940,216223834290,342187176800
560945462110,56637643750,81448241760,41554497920,137779472980,176903674640,158327552800,54883712560,279358373580,63783297000,159613539090,134705907390,147625000000,295637723260,215114231650,195823194540,108174927840,96739525820,147199737360,411679221150,79481935360,182988702600,222531690480,32898784810,116067788660,80476691400,134761378820,213143361120,215839607130,341273570260
566989057580,57322115700,82567873520,42393041600,140194891060,178108894480,159795965800,56548209440,283090616380,65016559000,162871993260,136791019160,150034240000,297210557890,217793525100,195659500000,109590452400,97943551440,147643778800,419746710210,81101811760,188616270000,221098270500,33521186280,118929317400,80953627500,137467353530,213998867730,215071152810,341315097830
568430649160,57428160650,83700755360,42352279060,139389751700,177506284560,161215431700,56168391360,282437473890,64826501500,163353788040,137194589180,148475320000,297072589940,216986066800,196049087500,110807623200,97901198780,147310747720,420537640510,82087236570,186142614000,219529622220,33279305140,119043398280,81020565900,137198675190,214039606140,215679512480,342228704370
579852490140,57100385350,83714005440,42183405680,139188466860,177525116120,160285436800,56067851280,281153766680,64209870500,164456844510,137367547760,149514600000,297348525840,217279688000,195832650000,111285475440,98264221580,145479076780,423859547770,82883675800,182679495600,219908261460,33603779840,118691648900,80568731700,138004710210,214569205470,218016894370,343931334740
587559460510,57553486500,84515635280,43289817480,140295533480,179653082400,160611750800,56592893920,280132402270,63580569000,165395076450,139125959990,149703560000,296382750190,216252013800,195010187500,111366620160,98554639820,144146952460,429870618050,83504628420,179812166160,219989398440,33827962360,118739182600,81572807700,138887510470,216769079610,217696705070,344138972590
586616881400,57919823600,86589272800,44198239800,141855490990,182458984840,162504372000,57419556800,287467655760,64581538500,165940265280,141287942240,151073520000,294425638560,215628068750,198126887500,111042041280,99074972500,143009096270,432322501980,85286492460,181669729860,223802836500,34167185910,118387433220,82702393200,140365241340,218480092830,215967682850,349246863700
587282231360,59018834900,88749035840,43947841340,142559987930,183965509640,161851744000,57710005920,287096250520,66562360000,166536169350,141335986290,154380320000,296521980000,221977627200,197391000000,111871520640,100030932540,145007282750,423068617470,85030012030,182350836550,224884662900,34146537520,120469409280,82878106500,141593485180,216891294840,214366736350,349662139400
587226785530,59009194450,88452468160,44192416580,141855490990,181611564640,160644382200,57575952480,288674722790,66009081500,166105089810,142815743030,152774160000,295915144320,221904221900,197694012500,111628086480,99734463920,146533675200,425995059580,87365333840,186189801530,225344439120,34226181310,120488422760,82978514100,141574293870,217706063040,217632667210,347253540340
591717897760,58430767450,87970686720,43994427100,142308381880,179841398000,159208600600,57251990000,288396168860,65126370000,165572579790,142306476100,152679680000,296190978720,221096763600,196958125000,111637102560,99776816580,147171984770,427656013210,87608315300,188109284020,223775790840,34235030620,121705285480,82551781800,140019797760,217096800000,217312477910,349329918840
588446593790,58104457350,86499300160,42905484960,140043927430,176244570040,157984923100,57173792160,288489020170,65075688000,165103463820,139712097400,151168000000,299280324000,219995684100,196784975000,111970697520,99389592260,147310747720,426865082910,84287568680,186932827010,223992156120,34184884530,123387978460,82928310300,141842972210,215872800000,215999701780,347793398750
